Date,LongReturn_Net,ShortReturn_Net,LSReturn_Net,BenchmarkReturn,LongTurnover,LongTickers,ShortTickers,Regime_RiskOn,Regime_SGGrowth,VIX,SG_PMI,Label
2009-02-28,-0.057650051915817534,0.03768136491749397,-0.019968686998323562,-0.06260340937177072,0.16666666666666666,CLAR SP Equity|THBEV SP Equity|HKL SP Equity|MLT SP Equity|SIA SP Equity|CICT SP Equity,DBS SP Equity|WIL SP Equity|JM SP Equity|VMS SP Equity|CIT SP Equity|GENS SP Equity,0.0,0,44.84,45.0,Full
2009-03-31,-0.013672530777043702,-0.08301696961960739,-0.09668950039665108,0.06568082788460768,0.3333333333333333,CLAR SP Equity|THBEV SP Equity|MLT SP Equity|YZJSGD SP Equity|SIA SP Equity|SGX SP Equity,SATS SP Equity|DBS SP Equity|JM SP Equity|CIT SP Equity|VMS SP Equity|GENS SP Equity,0.0,0,46.35,45.0,Full
2009-04-30,0.15071356171653633,-0.22437058887941247,-0.07365702716287614,0.1646718545001737,0.3333333333333333,THBEV SP Equity|MLT SP Equity|YZJSGD SP Equity|DFI SP Equity|HKL SP Equity|SIA SP Equity,VMS SP Equity|UOB SP Equity|JM SP Equity|CIT SP Equity|STM SP Equity|GENS SP Equity,0.0,0,44.14,47.1,Full
2009-05-31,0.3025444470741779,-0.20124480363774955,0.10129964343642833,0.24003458206595343,0.3333333333333333,YZJSGD SP Equity|HKL SP Equity|MLT SP Equity|THBEV SP Equity|SCI SP Equity|SGX SP Equity,DFI SP Equity|UOB SP Equity|GENS SP Equity|CLAR SP Equity|CIT SP Equity|JM SP Equity,0.0,0,36.5,49.2,Full
2009-06-30,0.022707078541104687,0.0048216183357509676,0.027528696876855656,0.01773425594408637,0.3333333333333333,YZJSGD SP Equity|KEP SP Equity|SCI SP Equity|DFI SP Equity|THBEV SP Equity|MLT SP Equity,VMS SP Equity|JM SP Equity|UOB SP Equity|GENS SP Equity|CLAR SP Equity|CIT SP Equity,0.0,1,28.92,51.2,Full
2009-07-31,0.13893614217360395,-0.08259676369714433,0.05633937847645962,0.13602661266992624,0.5,YZJSGD SP Equity|MLT SP Equity|KEP SP Equity|UOL SP Equity|FCT SP Equity|HKL SP Equity,UOB SP Equity|SIA SP Equity|SATS SP Equity|CLAR SP Equity|CICT SP Equity|DFI SP Equity,0.0,1,26.35,51.1,Full
2009-08-31,0.05772264528087942,-0.029128337684246455,0.028594307596632965,0.017112774241381166,0.16666666666666666,YZJSGD SP Equity|MLT SP Equity|UOL SP Equity|KEP SP Equity|HKL SP Equity|THBEV SP Equity,SIA SP Equity|GENS SP Equity|UOB SP Equity|CIT SP Equity|VMS SP Equity|CICT SP Equity,0.0,1,25.92,51.5,Full
2009-09-30,0.04805655517509547,-0.07842224528791471,-0.03036569011281924,0.05188165184409385,0.16666666666666666,YZJSGD SP Equity|KEP SP Equity|MLT SP Equity|UOL SP Equity|HKL SP Equity|SGX SP Equity,UOB SP Equity|CIT SP Equity|CLAR SP Equity|SIA SP Equity|CICT SP Equity|DFI SP Equity,0.0,1,26.01,54.4,Full
2009-10-31,0.03545788438783358,0.04682745181349912,0.0822853362013327,0.001593082312896692,0.16666666666666666,YZJSGD SP Equity|UOL SP Equity|KEP SP Equity|SATS SP Equity|MLT SP Equity|HKL SP Equity,ST SP Equity|CLAR SP Equity|SIA SP Equity|JM SP Equity|CICT SP Equity|DFI SP Equity,0.0,1,25.61,50.6,Full
2009-11-30,0.05205506205126299,-0.02674639779301195,0.025308664258251044,0.030066671421493815,0.16666666666666666,YZJSGD SP Equity|KEP SP Equity|MLT SP Equity|UOL SP Equity|WIL SP Equity|HKL SP Equity,STE SP Equity|STM SP Equity|CLAR SP Equity|SIA SP Equity|CICT SP Equity|DFI SP Equity,0.0,1,30.69,50.2,Full
